zone,date,description,score_key,value
boston-msa,2021-02-21,pop_black,C000_P_c45_AM_autoN_fareY,108232.27
boston-msa,2021-07-11,pop_black,C000_P_c45_AM_autoN_fareY,124722.125
boston-msa,2021-09-12,pop_black,C000_P_c45_AM_autoN_fareY,132620.69
boston-msa,2022-03-27,pop_black,C000_P_c45_AM_autoN_fareY,123275.92
boston-msa,2022-08-07,pop_black,C000_P_c45_AM_autoN_fareY,117616.67
boston-msa,2020-02-23,pop_hispanic,C000_P_c45_AM_autoN_fareY,99010.41
boston-msa,2020-03-15,pop_hispanic,C000_P_c45_AM_autoN_fareY,96824.89
boston-msa,2020-04-19,pop_hispanic,C000_P_c45_AM_autoN_fareY,109691.01
boston-msa,2020-05-10,pop_hispanic,C000_P_c45_AM_autoN_fareY,110580.85
boston-msa,2020-06-21,pop_hispanic,C000_P_c45_AM_autoN_fareY,113319.055
boston-msa,2020-07-19,pop_hispanic,C000_P_c45_AM_autoN_fareY,112784.82
boston-msa,2020-08-16,pop_hispanic,C000_P_c45_AM_autoN_fareY,111674.68
boston-msa,2020-09-20,pop_hispanic,C000_P_c45_AM_autoN_fareY,98385.81
boston-msa,2020-10-18,pop_hispanic,C000_P_c45_AM_autoN_fareY,99020.09
boston-msa,2020-11-15,pop_hispanic,C000_P_c45_AM_autoN_fareY,100257.3
boston-msa,2020-12-20,pop_hispanic,C000_P_c45_AM_autoN_fareY,103111.125
boston-msa,2021-01-17,pop_hispanic,C000_P_c45_AM_autoN_fareY,102929.13
boston-msa,2021-02-21,pop_hispanic,C000_P_c45_AM_autoN_fareY,101908.42
boston-msa,2021-07-11,pop_hispanic,C000_P_c45_AM_autoN_fareY,118494.195
boston-msa,2021-09-12,pop_hispanic,C000_P_c45_AM_autoN_fareY,121687.36
boston-msa,2022-03-27,pop_hispanic,C000_P_c45_AM_autoN_fareY,113495.93
boston-msa,2022-08-07,pop_hispanic,C000_P_c45_AM_autoN_fareY,108336.25
boston-msa,2020-02-23,pop_poverty,C000_P_c45_AM_autoN_fareY,114339.91
boston-msa,2020-03-15,pop_poverty,C000_P_c45_AM_autoN_fareY,113316.47
boston-msa,2020-04-19,pop_poverty,C000_P_c45_AM_autoN_fareY,122672.95
boston-msa,2020-05-10,pop_poverty,C000_P_c45_AM_autoN_fareY,124021.58
boston-msa,2020-06-21,pop_poverty,C000_P_c45_AM_autoN_fareY,125833.69
boston-msa,2020-07-19,pop_poverty,C000_P_c45_AM_autoN_fareY,125821.29
boston-msa,2020-08-16,pop_poverty,C000_P_c45_AM_autoN_fareY,124359.73
boston-msa,2020-09-20,pop_poverty,C000_P_c45_AM_autoN_fareY,112835.81
boston-msa,2020-10-18,pop_poverty,C000_P_c45_AM_autoN_fareY,114425.89
boston-msa,2020-11-15,pop_poverty,C000_P_c45_AM_autoN_fareY,115212.19
boston-msa,2020-12-20,pop_poverty,C000_P_c45_AM_autoN_fareY,119906.56
boston-msa,2021-01-17,pop_poverty,C000_P_c45_AM_autoN_fareY,119278.02
boston-msa,2021-02-21,pop_poverty,C000_P_c45_AM_autoN_fareY,118277.66
boston-msa,2021-07-11,pop_poverty,C000_P_c45_AM_autoN_fareY,131671.64
boston-msa,2021-09-12,pop_poverty,C000_P_c45_AM_autoN_fareY,136104.3
boston-msa,2022-03-27,pop_poverty,C000_P_c45_AM_autoN_fareY,128272.695
boston-msa,2022-08-07,pop_poverty,C000_P_c45_AM_autoN_fareY,123383.18
boston-msa,2020-02-23,pop_total,C000_P_c45_AM_autoN_fareY,69130.805
boston-msa,2020-03-15,pop_total,C000_P_c45_AM_autoN_fareY,67874.81
boston-msa,2020-04-19,pop_total,C000_P_c45_AM_autoN_fareY,73290.234
boston-msa,2020-05-10,pop_total,C000_P_c45_AM_autoN_fareY,75381.055
boston-msa,2020-06-21,pop_total,C000_P_c45_AM_autoN_fareY,74949.234
boston-msa,2020-07-19,pop_total,C000_P_c45_AM_autoN_fareY,74317.03
boston-msa,2020-08-16,pop_total,C000_P_c45_AM_autoN_fareY,74091.055
boston-msa,2020-09-20,pop_total,C000_P_c45_AM_autoN_fareY,67917.87
boston-msa,2020-10-18,pop_total,C000_P_c45_AM_autoN_fareY,69033.445
boston-msa,2020-11-15,pop_total,C000_P_c45_AM_autoN_fareY,69001.48
boston-msa,2020-12-20,pop_total,C000_P_c45_AM_autoN_fareY,73495.39
boston-msa,2021-01-17,pop_total,C000_P_c45_AM_autoN_fareY,72973.266
boston-msa,2021-02-21,pop_total,C000_P_c45_AM_autoN_fareY,72403.01
boston-msa,2021-07-11,pop_total,C000_P_c45_AM_autoN_fareY,79107.65
boston-msa,2021-09-12,pop_total,C000_P_c45_AM_autoN_fareY,82195.66
boston-msa,2022-03-27,pop_total,C000_P_c45_AM_autoN_fareY,78103.43
boston-msa,2022-08-07,pop_total,C000_P_c45_AM_autoN_fareY,74482.37
boston-msa,2020-02-23,pop_white,C000_P_c45_AM_autoN_fareY,55128.31
boston-msa,2020-03-15,pop_white,C000_P_c45_AM_autoN_fareY,53559.477
boston-msa,2020-04-19,pop_white,C000_P_c45_AM_autoN_fareY,57340.906
boston-msa,2020-05-10,pop_white,C000_P_c45_AM_autoN_fareY,59398.32
boston-msa,2020-06-21,pop_white,C000_P_c45_AM_autoN_fareY,58160.375
boston-msa,2020-07-19,pop_white,C000_P_c45_AM_autoN_fareY,57316.4
boston-msa,2020-08-16,pop_white,C000_P_c45_AM_autoN_fareY,57753.324
boston-msa,2020-09-20,pop_white,C000_P_c45_AM_autoN_fareY,53715.74
boston-msa,2020-10-18,pop_white,C000_P_c45_AM_autoN_fareY,54690.977
boston-msa,2020-11-15,pop_white,C000_P_c45_AM_autoN_fareY,54443.094
boston-msa,2020-12-20,pop_white,C000_P_c45_AM_autoN_fareY,58780.27
boston-msa,2021-01-17,pop_white,C000_P_c45_AM_autoN_fareY,58393.652
boston-msa,2021-02-21,pop_white,C000_P_c45_AM_autoN_fareY,58087.92
boston-msa,2021-07-11,pop_white,C000_P_c45_AM_autoN_fareY,62203.1
boston-msa,2021-09-12,pop_white,C000_P_c45_AM_autoN_fareY,64514.92
boston-msa,2022-03-27,pop_white,C000_P_c45_AM_autoN_fareY,61738.83
boston-msa,2022-08-07,pop_white,C000_P_c45_AM_autoN_fareY,58947.535
boston-msa,2020-02-23,workers_essential,C000_P_c45_AM_autoN_fareY,65762.1
boston-msa,2020-03-15,workers_essential,C000_P_c45_AM_autoN_fareY,64492.61
boston-msa,2020-04-19,workers_essential,C000_P_c45_AM_autoN_fareY,69840.58
boston-msa,2020-05-10,workers_essential,C000_P_c45_AM_autoN_fareY,71814.96
boston-msa,2020-06-21,workers_essential,C000_P_c45_AM_autoN_fareY,71357.5
boston-msa,2020-07-19,workers_essential,C000_P_c45_AM_autoN_fareY,70729.41
boston-msa,2020-08-16,workers_essential,C000_P_c45_AM_autoN_fareY,70689.61
boston-msa,2020-09-20,workers_essential,C000_P_c45_AM_autoN_fareY,64583.39
boston-msa,2020-10-18,workers_essential,C000_P_c45_AM_autoN_fareY,65722.016
boston-msa,2020-11-15,workers_essential,C000_P_c45_AM_autoN_fareY,65668.96
boston-msa,2020-12-20,workers_essential,C000_P_c45_AM_autoN_fareY,69977.86
boston-msa,2021-01-17,workers_essential,C000_P_c45_AM_autoN_fareY,69415.1
boston-msa,2021-02-21,workers_essential,C000_P_c45_AM_autoN_fareY,68892.43
boston-msa,2021-07-11,workers_essential,C000_P_c45_AM_autoN_fareY,75404.516
boston-msa,2021-09-12,workers_essential,C000_P_c45_AM_autoN_fareY,78369.02
boston-msa,2022-03-27,workers_essential,C000_P_c45_AM_autoN_fareY,74647.45
boston-msa,2022-08-07,workers_essential,C000_P_c45_AM_autoN_fareY,70936.29
boston-msa,2020-02-23,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07161449
boston-msa,2020-03-15,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.0708809
boston-msa,2020-04-19,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07533851
boston-msa,2020-05-10,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.076034784
boston-msa,2020-06-21,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07857041
boston-msa,2020-07-19,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07859772
boston-msa,2020-08-16,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.077805616
boston-msa,2020-09-20,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07039894
boston-msa,2020-10-18,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07076701
boston-msa,2020-11-15,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07140322
boston-msa,2020-12-20,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.073528916
boston-msa,2021-01-17,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07284354
boston-msa,2021-02-21,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.07188009
boston-msa,2021-07-11,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.083207935
boston-msa,2021-09-12,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.08747464
boston-msa,2022-03-27,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.08043015
boston-msa,2022-08-07,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.076510355
boston-msa,2020-02-23,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.10004771
boston-msa,2020-03-15,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.09993927
boston-msa,2020-04-19,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.10498416
boston-msa,2020-05-10,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.107389085
boston-msa,2020-06-21,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.10564154
boston-msa,2020-07-19,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.104512826
boston-msa,2020-08-16,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.103952244
boston-msa,2020-09-20,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.099019624
boston-msa,2020-10-18,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.10065067
boston-msa,2020-11-15,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.09983013
boston-msa,2020-12-20,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.107385844
boston-msa,2021-01-17,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.10686537
boston-msa,2021-02-21,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.10603432
boston-msa,2021-07-11,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.11163442
boston-msa,2021-09-12,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.11676882
boston-msa,2022-03-27,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.11136745
boston-msa,2022-08-07,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.10452486
boston-msa,2020-02-23,pop_black,C000_P_c45_AM_autoY_fareN,0.099580355
boston-msa,2020-03-15,pop_black,C000_P_c45_AM_autoY_fareN,0.100749716
boston-msa,2020-04-19,pop_black,C000_P_c45_AM_autoY_fareN,0.10684849
boston-msa,2020-05-10,pop_black,C000_P_c45_AM_autoY_fareN,0.10953076
boston-msa,2020-06-21,pop_black,C000_P_c45_AM_autoY_fareN,0.11342617
boston-msa,2020-07-19,pop_black,C000_P_c45_AM_autoY_fareN,0.114414304
boston-msa,2020-08-16,pop_black,C000_P_c45_AM_autoY_fareN,0.11003865
boston-msa,2020-09-20,pop_black,C000_P_c45_AM_autoY_fareN,0.09766187
boston-msa,2020-10-18,pop_black,C000_P_c45_AM_autoY_fareN,0.100149386
boston-msa,2020-11-15,pop_black,C000_P_c45_AM_autoY_fareN,0.100236274
