block_group,hhld_nocar,hhld_single_mother,hhld_total,hhld_total_w_chld,pop_asiapacific,pop_black,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,pop_total,pop_white,workers_all,workers_essential
250092069002,355,132,882,306,18,272,1484,0,2,700,2457,681,958,566
250092069003,289,69,718,69,0,346,119,0,0,357,1036,571,720,436
250092070001,262,25,560,60,0,208,329,0,23,357,957,397,422,253
250092070002,209,173,448,328,212,562,747,0,24,421,1578,33,620,376
250092071001,123,54,444,142,322,237,570,0,91,122,1299,79,721,413
250092071002,73,17,264,114,252,119,420,0,20,132,991,180,503,305
250092071003,90,99,324,169,131,159,659,0,9,274,1104,146,545,328
250092072001,113,57,375,219,369,0,478,0,0,164,1278,431,550,327
250092072002,200,119,662,185,128,320,759,0,0,350,1430,223,812,480
250092081011,28,0,353,92,0,0,9,0,0,38,884,875,602,303
250092081012,42,4,533,136,79,17,14,0,11,59,1352,1231,1083,562
250092081013,36,61,454,143,222,2,173,0,30,12,1365,938,681,328
250092081014,39,60,500,132,97,100,69,0,40,155,1356,1050,804,420
250092081021,2,25,271,99,103,265,26,0,65,8,960,501,491,263
250092081022,2,44,351,135,126,6,114,0,0,96,988,742,550,295
250092081023,2,7,324,40,36,0,38,0,0,102,733,659,522,258
250092081024,1,26,238,54,0,107,104,0,3,91,717,503,521,264
250092082001,84,65,488,201,89,30,200,133,29,29,1511,1030,720,380
250092082002,56,31,327,85,0,134,14,0,0,137,973,825,508,235
250092082003,163,19,950,68,75,63,0,0,23,235,1531,1370,1142,602
250092082004,85,71,498,187,17,19,0,0,0,444,1498,1462,834,415
250092083001,11,0,388,125,0,0,0,0,96,39,1074,978,696,364
250092083002,20,0,719,199,0,69,59,0,18,154,1897,1751,1333,645
250092083003,16,0,580,312,0,0,375,0,0,9,2118,1743,736,375
250092083004,32,125,1102,351,165,0,42,0,0,595,2935,2728,1534,754
250092084001,10,31,352,79,0,0,0,0,0,0,831,831,485,234
250092084002,22,0,792,31,168,24,35,0,40,155,1827,1560,941,469
250092084003,15,0,539,156,185,0,264,0,0,48,1713,1264,744,378
250092084004,19,49,670,213,33,0,155,0,0,253,1895,1707,1093,558
250092091001,39,0,587,228,52,54,0,0,158,12,1667,1403,734,358
250092091002,20,0,304,20,78,1,1,0,22,3,587,485,368,181
250092091003,31,17,468,248,52,0,90,0,0,61,1464,1322,816,391
250092091004,24,26,365,99,165,0,0,0,0,45,986,821,643,313
250092091005,53,37,788,241,102,85,68,0,0,15,2067,1812,917,446
250092092001,2,11,447,144,0,0,10,0,21,8,1301,1270,620,274
250092092002,2,11,540,256,113,0,10,0,43,42,1603,1437,725,325
250092092003,2,27,483,140,73,7,16,0,0,39,1455,1359,669,299
250092092004,2,10,514,259,0,1,97,0,25,13,1717,1594,832,385
250092101001,35,0,940,172,0,42,3,0,1,88,2050,2004,1562,759
250092101002,20,7,539,135,0,0,168,0,0,17,1738,1570,812,402
250092101003,15,9,404,205,0,0,39,0,0,54,1345,1306,851,414
250092101004,22,0,585,95,0,0,121,0,0,73,1452,1331,755,369
250092102001,10,0,460,76,3,16,0,0,0,97,1214,1195,814,403
250092102002,15,85,703,208,0,14,49,0,11,203,1948,1874,1027,520
250092102003,17,26,788,166,14,9,88,0,1,36,2141,2029,1168,577
250092103001,175,39,684,156,88,6,12,0,137,186,1383,1140,826,430
250092103002,622,0,2424,238,76,44,31,83,176,229,4252,3842,2088,1045
250092103003,340,29,1327,288,0,174,56,0,0,131,3170,2940,1309,658
250092104001,30,94,865,347,0,88,255,0,0,601,1995,1652,919,494
250092104002,12,24,366,98,0,0,223,0,26,25,940,691,665,345
250092104003,32,39,922,233,17,92,233,0,0,115,2414,2072,1402,742
250092104004,26,36,757,188,131,0,61,0,0,59,1835,1643,950,495
250092105001,19,0,342,86,17,0,185,0,0,77,919,717,648,321
